Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
10,93,323,298,105,3.18802556,-1.23742556,-33.2568%,1,False,False,1.1,20,0.16,15,0.27,10,3,30,55
10,89,427,401,142,4.33159956,3.0996004400004,82.4879%,1,False,False,1,18,0.13,19,0.26,8,3,30,55
10,88,382,358,128,3.81941628,1.2161837199996,33.151%,1,False,False,1,18,0.15,18,0.23,10,3,30,55
10,84,349,328,116,3.51292752,1.5522724800002,41.7481%,1,False,False,1.2,24,0.15,17,0.25,6,3,30,55
10,83,335,325,117,3.4442188,1.8507812000012,51.2383%,1,False,False,0.9,18,0.16,18,0.23,8,3,30,55
10,80,442,413,152,4.37071616,-2.7155161600002,-76.6365%,1,False,False,1.2,18,0.12,18,0.23,12,3,30,55
10,79,337,313,106,3.43359516,-4.031795159999,-101.3649%,1,False,False,1.1,22,0.13,15,0.24,18,3,30,55
10,78,379,359,126,3.86245748,0.8411425199998,22.3076%,1,False,False,1,24,0.14,16,0.23,6,3,30,55
10,77,474,444,160,4.77722096,-2.8812209599988,-78.2113%,1,False,False,1.2,20,0.1,17,0.24,14,3,30,55
10,76,297,283,97,3.07582404,-6.8654240400006,-176.7258%,1,False,False,1,20,0.16,15,0.22,16,3,30,55
10,75,454,427,154,4.57320848,1.8003915200012,49.1704%,1,False,False,1.2,22,0.11,15,0.23,12,3,30,55
10,74,341,310,108,3.35999512,-2.9571951199994,-77.454%,1,False,False,1.2,18,0.13,16,0.25,18,3,30,55
10,73,327,316,114,3.3386254,1.2125746000004,33.7677%,1,False,False,0.9,16,0.16,17,0.22,8,3,30,55
10,72,452,416,145,4.56334068,-8.7335406799986,-224.962%,1,False,False,1.2,16,0.09,15,0.25,16,3,30,55
10,71,392,377,134,4.04316732,-2.8507673200006,-76.7706%,1,False,False,0.9,18,0.14,18,0.27,6,3,30,55
10,70,370,345,125,3.65124072,-0.1552407200002,-4.3258%,1,False,False,1.2,18,0.13,15,0.24,12,3,30,55
10,69,388,373,128,4.09140612,-4.7482061200004,-120.6291%,1,False,False,1,20,0.13,17,0.22,18,3,30,55
10,68,538,504,182,5.44589148,0.4531085200006,12.2549%,1,False,False,1.2,20,0.09,19,0.25,8,3,30,55
10,67,395,373,136,3.94273808,-1.5511380800004,-43.4928%,1,False,False,1.1,20,0.14,18,0.27,6,3,30,55
10,66,504,478,160,5.36481092,-7.5612109200002,-182.4233%,1,False,False,0.9,22,0.09,15,0.22,16,3,30,55
10,65,323,294,101,3.20446152,-4.5320615199994,-116.5052%,1,False,False,1.2,20,0.14,16,0.25,18,3,30,55
10,64,515,488,168,5.38249316,-1.2772931599988,-32.2617%,1,False,False,1,22,0.1,19,0.23,12,3,30,55
10,63,306,287,105,2.997128,-0.068728,-1.9673%,1,False,False,1.1,22,0.16,15,0.24,6,3,30,55
10,62,416,392,143,4.162153,4.4120470000006,123.127%,1,False,False,1.2,20,0.13,19,0.27,8,3,30,55
10,61,405,392,143,4.15557664,4.8160233600002,134.5989%,1,False,False,1.2,24,0.13,19,0.22,8,3,30,55
10,60,417,388,131,4.30972624,-5.44152624,-134.181%,1,False,False,1,24,0.11,19,0.25,16,3,30,55
10,59,328,318,116,3.33673524,-1.4963352399998,-42.4126%,1,False,False,0.9,18,0.16,18,0.27,6,3,30,55
10,58,331,309,109,3.30170128,-1.9423012799996,-52.283%,1,False,False,1,20,0.16,15,0.24,10,3,30,55
10,57,336,315,112,3.35143956,-0.3126395600002,-8.518%,1,False,False,1,16,0.16,17,0.25,12,3,30,55
10,56,509,473,169,5.12125948,-5.3906594799996,-144.0424%,1,False,False,1.2,16,0.09,18,0.26,12,3,30,55
10,55,331,320,120,3.30282276,-1.2390227600004,-36.7123%,1,False,False,1.1,20,0.16,17,0.22,6,3,30,55
10,54,403,376,131,4.09868668,-2.3284866799992,-60.4237%,1,False,False,1.1,24,0.11,16,0.24,18,3,30,55
10,53,403,377,135,4.03693416,7.6834658400004,208.7854%,1,False,False,1.2,24,0.13,19,0.26,8,3,30,55
10,52,375,348,123,3.74248528,5.3959147199998,144.2859%,1,False,False,1.2,24,0.13,16,0.26,8,3,30,55
10,51,366,335,116,3.6309786,3.2972214000002,85.7619%,1,False,False,1.1,22,0.15,19,0.26,14,3,30,55
10,50,310,289,98,3.16516344,-5.1241634400006,-129.3873%,1,False,False,1,24,0.16,18,0.27,16,3,30,55
10,49,477,454,166,4.8429804,1.1210195999996,31.1429%,1,False,False,1.1,18,0.11,19,0.24,8,3,30,55
10,48,447,417,143,4.60671116,-4.7265111599988,-118.9233%,1,False,False,1.2,22,0.09,16,0.24,18,3,30,55
10,47,540,517,180,5.67374708,-3.5771470800004,-91.7755%,1,False,False,1.1,22,0.08,18,0.22,12,3,30,55
10,46,426,401,139,4.3954368,-4.2008368,-107.7609%,1,False,False,1,20,0.12,16,0.23,16,3,30,55
10,45,403,377,135,4.03693416,7.6834658400004,208.7854%,1,False,False,1.2,24,0.13,19,0.26,8,3,30,55
10,44,405,374,132,4.03241812,-1.8230181200006,-48.4918%,1,False,False,1.1,16,0.13,18,0.25,14,3,30,55
10,43,361,342,118,3.70976788,1.8526321199998,47.9418%,1,False,False,1,24,0.15,17,0.25,6,3,30,55
10,42,473,442,159,4.75784036,-1.947640359999,-52.7552%,1,False,False,1.2,22,0.1,17,0.23,14,3,30,55
10,41,504,477,163,5.28041504,-3.7906150399994,-94.7034%,1,False,False,0.9,16,0.1,16,0.26,12,3,30,55
10,40,399,377,134,4.04224964,1.9719503599992,53.1215%,1,False,False,1.1,22,0.13,16,0.22,14,3,30,55
10,39,419,385,132,4.2473554,-5.096355399999,-128.525%,1,False,False,1.1,22,0.1,18,0.27,16,3,30,55
10,38,390,369,129,4.01148624,-3.4990862399992,-91.3927%,1,False,False,1.1,24,0.12,15,0.22,18,3,30,55
10,37,436,407,139,4.47693896,2.8022610399994,70.5688%,1,False,False,1.1,24,0.11,15,0.27,12,3,30,55
10,36,468,443,160,4.74085756,0.0669424399996,1.8311%,1,False,False,1.1,22,0.11,15,0.25,6,3,30,55
10,35,418,396,147,4.15187932,0.77952068,22.4147%,1,False,False,1.2,22,0.13,18,0.24,6,3,30,55
10,34,426,401,134,4.48014068,-7.3785406799996,-178.9283%,1,False,False,0.9,20,0.11,16,0.25,16,3,30,55
10,33,400,376,134,4.03669096,7.3389090400004,197.9487%,1,False,False,1.2,24,0.13,19,0.27,8,3,30,55
10,32,471,431,144,4.81741484,-0.8150148399992,-19.7379%,1,False,False,1,24,0.09,19,0.27,14,3,30,55
10,31,503,478,161,5.33305776,-1.7820577599994,-43.5406%,1,False,False,0.9,22,0.1,19,0.23,14,3,30,55
10,30,379,359,133,3.751075,-1.970475,-56.8413%,1,False,False,1.2,20,0.13,15,0.24,6,3,30,55
10,29,375,356,129,3.77271412,2.3408858799998,65.1253%,1,False,False,1,18,0.15,19,0.23,8,3,30,55
10,28,336,310,106,3.3731676,-0.070367600001,-1.8026%,1,False,False,1.1,22,0.15,16,0.25,12,3,30,55
10,27,339,317,112,3.41336124,-3.0783612399988,-82.278%,1,False,False,1.2,24,0.15,19,0.24,16,3,30,55
10,26,531,504,175,5.54659172,-3.6537917199988,-93.2619%,1,False,False,1,18,0.09,18,0.22,14,3,30,55
10,25,415,395,147,4.14333332,3.5676666800004,102.8196%,1,False,False,1.2,18,0.13,19,0.24,8,3,30,55
10,24,533,506,169,5.68710516,4.20449484,101.0455%,1,False,False,0.9,24,0.09,19,0.26,8,3,30,55
10,23,385,355,128,3.79724192,-4.5476419199992,-124.6221%,1,False,False,1.2,24,0.12,15,0.23,16,3,30,55
10,22,409,383,141,4.04181268,4.6099873200006,130.6957%,1,False,False,1.2,18,0.13,19,0.26,8,3,30,55
10,21,506,484,173,5.23880872,1.5629912800002,41.7904%,1,False,False,1,16,0.1,16,0.24,8,3,30,55
10,20,395,371,133,3.96998084,3.6078191600006,98.2515%,1,False,False,1.1,18,0.14,19,0.27,8,3,30,55
10,19,402,370,126,4.08566348,-2.070263479999,-51.8418%,1,False,False,1.1,24,0.11,18,0.25,18,3,30,55
10,18,334,309,108,3.32452672,3.9534732800006,104.7116%,1,False,False,1.2,24,0.16,18,0.27,10,3,30,55
10,17,503,462,158,5.12073124,-5.4617312400002,-136.4414%,1,False,False,1.1,20,0.08,18,0.27,14,3,30,55
10,16,372,357,124,3.872215,-0.3946150000002,-10.2757%,1,False,False,0.9,16,0.15,19,0.25,10,3,30,55
10,15,382,361,133,3.78515384,-0.52035384,-14.8711%,1,False,False,1.2,22,0.13,15,0.23,6,3,30,55
10,14,401,373,132,4.03701568,-2.2466156799996,-59.6618%,1,False,False,1.2,20,0.12,19,0.23,18,3,30,55
10,13,378,346,120,3.7708596,-4.392859599999,-113.6578%,1,False,False,1.1,20,0.12,15,0.25,18,3,30,55
10,12,348,320,111,3.45890764,-0.1319076400008,-3.4493%,1,False,False,1.1,20,0.15,16,0.26,14,3,30,55
10,11,530,500,172,5.5325708,-2.6743707999992,-67.2616%,1,False,False,0.9,16,0.1,19,0.27,10,3,30,55
10,10,505,483,173,5.20794516,-0.07114516,-1.9132%,1,False,False,1,22,0.11,16,0.23,6,3,30,55
10,9,478,456,149,5.1722416,-9.4424415999998,-220.1142%,1,False,False,0.9,20,0.08,18,0.24,18,3,30,55
10,8,424,393,136,4.28575104,-2.7259510399992,-70.2174%,1,False,False,1,16,0.13,18,0.26,12,3,30,55
10,7,421,395,136,4.32425508,6.9729449199998,178.0034%,1,False,False,1,24,0.13,19,0.27,8,3,30,55
10,6,312,287,99,3.09780696,1.60699304,41.9269%,1,False,False,1.1,24,0.16,15,0.27,10,3,30,55
10,5,587,554,188,6.18995084,-4.89195084,-120.0555%,1,False,False,1,18,0.08,18,0.23,12,3,30,55
10,4,353,324,109,3.5774488,-2.4706487999978,-61.2573%,1,False,False,1.1,22,0.14,19,0.27,18,3,30,55
10,3,335,314,110,3.3939562,-2.0185561999988,-53.2993%,1,False,False,1.2,24,0.15,19,0.23,18,3,30,55
10,2,391,367,128,3.98298436,7.4972156400002,195.8213%,1,False,False,1.1,24,0.14,19,0.26,8,3,30,55
10,1,582,551,195,6.02580756,-3.7204075600006,-97.3143%,1,False,False,1.1,18,0.08,19,0.24,10,3,30,55
9,100,529,506,172,5.6255138,-6.0155137999988,-148.7489%,1,False,False,0.9,20,0.1,19,0.24,12,3,30,55
9,99,483,451,150,5.07773944,-11.1359394399992,-266.2666%,1,False,False,1,18,0.08,17,0.25,16,3,30,55
9,98,460,428,144,4.7841546,-8.6471545999988,-210.8237%,1,False,False,1.1,22,0.08,17,0.26,16,3,30,55
9,97,372,346,124,3.686351,0.7878489999996,21.5691%,1,False,False,1.1,18,0.14,15,0.23,10,3,30,55
9,96,338,321,121,3.30568708,-0.5244870799998,-15.6564%,1,False,False,1,18,0.16,18,0.23,6,3,30,55
9,95,453,427,143,4.77308504,-4.3700850400002,-106.0653%,1,False,False,1,22,0.09,18,0.24,18,3,30,55
9,94,403,377,135,4.03693416,7.6834658400004,208.7854%,1,False,False,1.2,24,0.13,19,0.26,8,3,30,55
9,93,438,420,144,4.63826012,-2.7386601200004,-68.9196%,1,False,False,1,20,0.11,17,0.22,18,3,30,55
9,92,363,343,122,3.66623504,3.7809649599998,102.3978%,1,False,False,1.2,24,0.13,15,0.23,8,3,30,55
9,91,400,381,132,4.15143584,1.0323641600018,26.6641%,1,False,False,0.9,16,0.13,17,0.26,8,3,30,55
9,90,461,429,139,4.88165304,-7.4590530399998,-171.9768%,1,False,False,0.9,22,0.09,16,0.27,16,3,30,55
9,89,321,311,113,3.25849908,-2.5300990800006,-71.574%,1,False,False,0.9,20,0.16,16,0.22,6,3,30,55
9,88,429,395,137,4.31443492,3.2181650800002,82.9332%,1,False,False,1.2,24,0.12,19,0.26,12,3,30,55
9,87,520,498,170,5.5279014,2.3664986000006,58.8799%,1,False,False,0.9,22,0.1,18,0.25,8,3,30,55
9,86,441,412,147,4.43858812,4.476011880001,120.2789%,1,False,False,1.2,22,0.11,15,0.27,8,3,30,55
9,85,453,429,159,4.52329796,-3.1158979600002,-88.842%,1,False,False,1.1,18,0.12,19,0.26,6,3,30,55
9,84,277,253,84,2.78435744,-4.1263574399996,-101.8232%,1,False,False,1.1,22,0.16,15,0.27,18,3,30,55
9,83,322,307,106,3.33941064,-4.2178106400006,-109.1066%,1,False,False,1.1,24,0.15,16,0.22,16,3,30,55
9,82,450,432,150,4.71726012,0.8743398799998,22.5392%,1,False,False,0.9,22,0.13,19,0.22,10,3,30,55
9,81,328,302,102,3.31674384,-7.6205438400002,-190.964%,1,False,False,1,20,0.15,16,0.25,16,3,30,55
9,80,323,298,107,3.14820352,0.9521964800002,26.4188%,1,False,False,1.1,18,0.16,16,0.26,10,3,30,55
9,79,354,330,118,3.51425464,1.0245453599994,28.0235%,1,False,False,1.1,20,0.15,15,0.23,10,3,30,55
9,78,322,300,104,3.22282184,0.1057781599996,2.7852%,1,False,False,1,20,0.16,16,0.25,14,3,30,55
9,77,379,363,132,3.83921412,-0.8232141200002,-23.02%,1,False,False,1,16,0.15,19,0.22,10,3,30,55
9,76,571,536,181,5.99647144,-5.91667144,-144.3538%,1,False,False,1,18,0.08,15,0.24,12,3,30,55
9,75,381,354,126,3.7944114,5.1493886,139.0901%,1,False,False,1.2,24,0.13,17,0.26,8,3,30,55
9,74,451,421,148,4.58069632,4.9205036800004,128.9348%,1,False,False,1.2,24,0.11,19,0.26,8,3,30,55
9,73,600,578,199,6.42716832,-2.6193683199998,-65.5161%,1,False,False,0.9,16,0.08,18,0.24,8,3,30,55
9,72,324,303,104,3.29719796,-5.1255979599992,-131.797%,1,False,False,0.9,16,0.16,19,0.22,18,3,30,55
9,71,407,376,133,4.0521796,6.0042204000002,160.1116%,1,False,False,1.2,24,0.13,19,0.26,12,3,30,55
9,70,480,437,147,4.86703496,-0.112434959999,-2.751%,1,False,False,1,24,0.09,18,0.27,14,3,30,55
9,69,305,282,98,3.03901544,-6.3488154400006,-167.1312%,1,False,False,1,16,0.16,17,0.25,16,3,30,55
9,68,492,457,161,4.97332128,-3.3129212800006,-86.866%,1,False,False,1.1,22,0.09,18,0.24,14,3,30,55
9,67,338,325,112,3.54508568,-3.4498856799986,-88.7221%,1,False,False,1.1,24,0.15,19,0.22,18,3,30,55
9,66,500,466,164,5.08911836,4.1906816400004,109.3712%,1,False,False,1.2,24,0.09,19,0.26,8,3,30,55
9,65,436,402,133,4.50995764,-6.8295576400002,-163.2742%,1,False,False,1,18,0.09,15,0.26,18,3,30,55
9,64,419,393,144,4.16239512,4.7620048800006,133.8205%,1,False,False,1.2,20,0.13,19,0.26,8,3,30,55
9,63,414,387,140,4.12541108,5.7963889200006,159.7964%,1,False,False,1.2,22,0.13,19,0.26,8,3,30,55
9,62,446,412,137,4.61879536,-5.8949953599996,-141.7022%,1,False,False,1,20,0.09,18,0.27,18,3,30,55
9,61,391,367,128,3.98298436,7.4972156400002,195.8213%,1,False,False,1.1,24,0.14,19,0.26,8,3,30,55
9,60,419,393,144,4.16239512,4.7620048800006,133.8205%,1,False,False,1.2,20,0.13,19,0.26,8,3,30,55
9,59,321,298,100,3.28116344,-4.5095634399984,-112.0286%,1,False,False,1.1,18,0.15,18,0.27,18,3,30,55
9,58,446,416,129,4.83446568,-8.1622656800008,-176.3829%,1,False,False,0.9,24,0.08,15,0.27,18,3,30,55
9,57,432,412,149,4.39424996,1.61835004,44.5315%,1,False,False,1.1,18,0.13,19,0.24,10,3,30,55
9,56,525,496,174,5.42237908,1.0084209200012,26.1876%,1,False,False,1,20,0.11,19,0.23,10,3,30,55
9,55,400,376,134,4.03669096,7.3389090400004,197.9487%,1,False,False,1.2,24,0.13,19,0.27,8,3,30,55
9,54,422,398,139,4.32430192,3.0716980799994,80.1299%,1,False,False,1.1,24,0.12,16,0.24,10,3,30,55
9,53,499,472,167,5.12023268,0.2381673200008,6.291%,1,False,False,1,16,0.11,15,0.23,12,3,30,55
9,52,345,317,109,3.46374584,-1.2829458399986,-32.8747%,1,False,False,1.2,24,0.14,19,0.27,18,3,30,55
9,51,331,308,109,3.29503252,6.4791674800006,174.8115%,1,False,False,1.2,24,0.16,19,0.26,8,3,30,55
9,50,467,443,163,4.70556384,0.6212361600004,17.4474%,1,False,False,1.2,18,0.11,17,0.23,8,3,30,55
9,49,376,351,127,3.7393392,-2.6137391999992,-72.1929%,1,False,False,1.2,16,0.13,19,0.23,18,3,30,55
9,48,323,293,102,3.16923548,-7.9966354799994,-209.9075%,1,False,False,1.2,18,0.14,17,0.27,16,3,30,55
9,47,449,434,156,4.66623164,0.4137683600008,11.2181%,1,False,False,1,16,0.12,19,0.22,8,3,30,55
9,46,328,309,107,3.35587932,-2.0828793199996,-54.1213%,1,False,False,1.2,24,0.14,15,0.22,18,3,30,55
9,45,406,385,143,4.03819384,2.1826061600002,62.815%,1,False,False,1.2,20,0.13,17,0.23,8,3,30,55
9,44,289,262,89,2.84796308,-8.0555630800002,-205.7557%,1,False,False,1,16,0.16,15,0.26,16,3,30,55
9,43,438,402,137,4.45942828,-4.9136282799994,-122.4075%,1,False,False,1.2,20,0.09,18,0.27,18,3,30,55
9,42,634,610,210,6.78163172,-3.2004317200006,-80.004%,1,False,False,0.9,20,0.08,17,0.27,6,3,30,55
9,41,399,377,135,4.03687768,7.3175223200004,198.8457%,1,False,False,1.2,24,0.13,19,0.25,8,3,30,55
9,40,406,379,135,4.07118304,5.6272169600006,151.5892%,1,False,False,1.2,24,0.13,19,0.26,10,3,30,55
9,39,480,455,148,5.18095872,-4.4783587199992,-103.5364%,1,False,False,1,24,0.08,18,0.23,18,3,30,55
9,38,536,508,173,5.6505464,-4.599946399999,-113.9074%,1,False,False,0.9,16,0.09,19,0.23,14,3,30,55
9,37,393,371,129,4.025246,3.5959539999998,93.6474%,1,False,False,1.1,24,0.14,18,0.22,14,3,30,55
9,36,299,286,99,3.09196672,-2.9175667199996,-76.2482%,1,False,False,1.1,22,0.16,17,0.22,18,3,30,55
9,35,381,354,126,3.7944114,5.1493886,139.0901%,1,False,False,1.2,24,0.13,17,0.26,8,3,30,55
9,34,464,436,152,4.7671918,3.6378081999998,94.0167%,1,False,False,1.1,24,0.1,17,0.26,8,3,30,55
9,33,513,495,172,5.43766048,0.7345395200002,18.8017%,1,False,False,0.9,18,0.1,15,0.24,8,3,30,55
9,32,634,606,216,6.61457432,-5.9307743200002,-156.4082%,1,False,False,1,18,0.08,15,0.23,6,3,30,55
9,31,414,401,148,4.21770456,1.59189544,45.3499%,1,False,False,1.2,24,0.13,19,0.22,6,3,30,55
9,30,438,409,146,4.41907432,-7.5494743199994,-202.2958%,1,False,False,1.1,16,0.1,17,0.24,16,3,30,55
9,29,479,446,149,5.01362788,-10.5276278799994,-253.2873%,1,False,False,1,18,0.08,19,0.27,16,3,30,55
9,28,524,505,180,5.4727654,-4.4575653999998,-118.6173%,1,False,False,0.9,18,0.1,16,0.25,6,3,30,55
9,27,517,487,169,5.36779752,2.5802024800002,65.7468%,1,False,False,1.2,24,0.08,19,0.26,8,3,30,55
9,26,363,332,116,3.60656016,-4.4685601599992,-116.9388%,1,False,False,1.2,24,0.13,18,0.27,16,3,30,55
9,25,369,340,120,3.65014096,0.3674590399998,9.8344%,1,False,False,1.1,20,0.15,17,0.23,14,3,30,55
9,24,420,399,141,4.32486088,-3.9464608799988,-104.3864%,1,False,False,1.1,18,0.11,15,0.22,18,3,30,55
9,23,343,323,119,3.37122268,-2.3152226799996,-66.6134%,1,False,False,1,18,0.15,15,0.27,6,3,30,55
9,22,428,400,131,4.51937812,-6.1101781199998,-143.5747%,1,False,False,0.9,24,0.1,17,0.27,16,3,30,55
