Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),max_dca_orders,above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
1,176,113,108,39,1.04106608,8.2819339199994,276.578%,2,False,False,1,10,25,0.1,50,0.32,23,6,45,55
1,175,137,134,52,1.2693792,6.9512207999996,247.0597%,2,False,False,1,10,25,0.1,50,0.22,23,6,45,55
1,174,172,164,66,1.54157376,6.4822262399996,237.2435%,2,False,False,1,10,25,0.1,50,0.16,23,6,45,55
1,173,201,193,79,1.80340464,5.4737953599996,203.9413%,2,False,False,1,10,25,0.1,50,0.12,23,6,45,55
1,172,108,103,37,1.00120088,8.0565991199994,264.26%,2,False,False,1,10,25,0.1,49,0.32,23,6,45,55
1,171,131,128,49,1.22163564,6.6547643599996,232.3698%,2,False,False,1,10,25,0.1,49,0.22,23,6,45,55
1,170,165,157,62,1.48604484,6.1829551599996,222.393%,2,False,False,1,10,25,0.1,49,0.16,23,6,45,55
1,169,193,185,75,1.73975604,5.2096439599996,191.4633%,2,False,False,1,10,25,0.1,49,0.12,23,6,45,55
1,168,109,103,37,1.00121192,8.0549880799994,264.2042%,2,False,False,1,10,25,0.1,48,0.32,23,6,45,55
1,167,132,128,49,1.22162508,6.6903749199996,233.614%,2,False,False,1,10,25,0.1,48,0.22,23,6,45,55
1,166,166,158,63,1.48498156,6.1446184399996,224.7533%,2,False,False,1,10,25,0.1,48,0.16,23,6,45,55
1,165,189,181,74,1.69717876,5.1438212399996,190.5524%,2,False,False,1,10,25,0.1,48,0.12,23,6,45,55
1,164,108,102,36,0.99171684,7.8522831599998,255.5809%,2,False,False,1,10,25,0.1,47,0.32,23,6,45,55
1,163,133,129,49,1.22970572,6.6302942799998,231.5159%,2,False,False,1,10,25,0.1,47,0.22,23,6,45,55
1,162,166,158,63,1.48499548,5.9922045199998,219.1789%,2,False,False,1,10,25,0.1,47,0.16,23,6,45,55
1,161,189,181,73,1.70500368,5.1069963199998,186.6608%,2,False,False,1,10,25,0.1,47,0.12,23,6,45,55
